ID Code,Color 1,Color 2,Card Name,Stage,Level,Rarity,DP,Play Cost,DigiCost 1,DigiCost 2,Main Effect,Inherited Effect,Security,Attribute,Type,Url
BT1-001,Red,-,Yokomon,In-Training (Lv2),2,Rare,-,-,-,-,-,"[When Attacking] When Attacking Opponent's Digimon, This Digimon gets +1000DP",-,-,Bulb,https://assets.cardlist.dev/images/communitycards/BT1-001_IRL.png
BT1-002,Red,-,Bebydomon,In-Training (Lv2),2,Uncommon,-,-,-,-,-,"[Your Turn] While this Digimon has <Piercing>, it gains +2000 DP",-,-,Baby Dragon,
BT1-003,Blue,-,Upamon,In-Training (Lv2),2,Rare,-,-,-,-,-,"[When Attacking] [Once Per Turn] If you opponent has a Digimon with no digivolution cards in play, trigger <Draw 1>",-,-,Amphibian,
BT1-004,Blue,-,Wanyamon,In-Training (Lv2),2,Uncommon,-,-,-,-,-,"[Your Turn] While your opponent has 2 or more Digimon with no digivolution cards in play, this Digimon gets +2000 DP",-,-,Lesser,
BT1-005,Yellow,-,Kyaromon,In-Training (Lv2),2,Uncommon,-,-,-,-,-,"[Your Turn] While you have 6 or more security cards, this Digimon gets +2000 DP.",-,-,Lesser,
BT1-006,Yellow,-,Cupidmon,In-Training (Lv2),2,Rare,-,-,-,-,-,"[When Attacking] If you have 5 or more security cards, trigger <Draw 1>",-,-,Mini Angel,
BT1-007,Green,-,Tanemon,In-Training (Lv2),2,Rare,-,-,-,-,-,"[When Attacking] If you've digivolved this turn, this Digimon gets +1000 DP for the turn.",-,-,Bulb,
BT1-008,Green,-,Frimon,In-Training (Lv2),2,Uncommon,-,-,-,-,-,"[Your Turn] While your opponent has 2 or more suspended Digimon in play, this Digimon gets +2000 DP.",-,-,Lesser,
BT1-009,Red,-,Monodramon,Rookie (Lv3),3,Common,3000,2,0,-,-,-,-,Vaccine,Mini Dragon,
BT1-010,Red,-,Agumon,Rookie (Lv3),3,Rare,2000,3,0,-,[On Play] Reveal 5 cards from the top of your deck. Add 1 Tamer card among them to your hand. Place the remaining cards at the bottom of your deck in any order.,-,-,Vaccine,Reptile,
BT1-011,Red,-,Agumon Expert,Rookie (Lv3),3,Common,1000,3,0,-,[On Play] Return 1 Digimon card with [Agumon] in its name from your recycle bin to your hand.,-,-,Vaccine,Reptile,
BT1-012,Red,-,Biyomon,Rookie (Lv3),3,Uncommon,2000,3,0,-,-,"[Your Turn] When this Digimon is blocked, it gets +2000 DP",-,Vaccine,Bird,
BT1-013,Red,-,Muchomon,Rookie (Lv3),3,Common,5000,3,1,-,-,-,-,Data,Avian,
